track 1;
1193 37;
87 42;
8 43;
8 44;
8 47;
8 50;
8 54;
8 59;
8 64;
8 70;
8 72;
8 76;
8 77;
16 78;
24 79;
48 82;
8 82;
32 83;
16 84;
10 85;
8 87;
8 88;
8 89;
8 91;
24 93;
40 94;
8 94;
8 95;
24 95;
8 96;
3683 90;
47 85;
8 84;
9 82;
8 80;
8 78;
8 74;
8 72;
8 68;
10 63;
6 57;
10 53;
6 48;
10 43;
8 37;
8 32;
8 25;
8 20;
8 14;
8 9;
8 4;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
16 0;
10 0;
14 0;
27 0;
16 0;
8 0;
end;
track 2;
2148 71;
87 65;
15 64;
8 63;
8 61;
8 59;
8 57;
8 55;
8 54;
8 52;
8 50;
8 48;
8 47;
16 46;
8 44;
8 43;
8 42;
10 41;
6 38;
16 37;
10 36;
16 35;
24 34;
3735 39;
47 33;
8 31;
8 29;
8 26;
8 25;
8 22;
8 18;
8 17;
8 14;
8 12;
8 10;
10 9;
8 5;
8 3;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
40 0;
end;
track 3;
3002 24;
46 29;
8 30;
8 30;
8 31;
8 32;
16 34;
8 36;
8 38;
8 40;
8 43;
8 46;
8 49;
8 53;
8 55;
8 59;
8 63;
8 65;
10 67;
6 69;
8 70;
10 71;
6 72;
10 74;
6 75;
10 77;
8 78;
8 80;
8 81;
8 82;
8 83;
8 84;
8 88;
8 89;
8 90;
8 94;
16 95;
8 96;
16 98;
16 99;
16 100;
8 101;
16 104;
24 105;
32 105;
10 106;
38 107;
34 109;
88 107;
8 106;
7 105;
8 102;
8 101;
16 100;
32 99;
24 99;
3341 64;
31 59;
8 57;
8 56;
10 54;
6 53;
10 52;
6 51;
10 50;
6 46;
10 43;
8 40;
8 36;
8 34;
8 30;
9 28;
8 24;
8 21;
7 16;
8 11;
8 5;
8 0;
8 0;
8 0;
9 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
8 0;
16 0;
8 0;
8 0;
8 0;
16 0;
10 0;
6 0;
18 0;
8 0;
32 0;
97 0;
end;
